Timestamp,Distance,Signal_Strength
2024-10-04 20:30:03,106,2430
2024-10-04 20:30:03,106,2540
2024-10-04 20:30:04,106,2586
2024-10-04 21:00:02,101,4095
2024-10-04 21:00:02,101,4095
2024-10-04 21:00:03,101,4095
2024-10-04 21:30:02,108,2510
2024-10-04 21:30:02,108,2606
2024-10-04 21:30:03,108,2650
2024-10-04 21:45:02,108,2572
2024-10-04 21:45:02,108,2681
2024-10-04 21:45:03,108,2731
2024-10-04 22:00:02,107,2600
2024-10-04 22:00:03,107,2697
2024-10-04 22:00:03,107,2759
2024-10-04 22:15:02,110,2603
2024-10-04 22:15:03,110,2715
2024-10-04 22:15:03,110,2763
2024-10-04 22:25:02,106,2592
2024-10-04 22:25:03,106,2703
2024-10-04 22:25:03,106,2749
2024-10-04 22:26:02,107,2535
2024-10-04 22:26:03,107,2637
2024-10-04 22:26:03,107,2668
2024-10-04 22:27:03,108,2489
2024-10-04 22:27:03,108,2574
2024-10-04 22:27:04,108,2618
2024-10-04 22:28:02,107,2446
2024-10-04 22:28:02,107,2540
2024-10-04 22:28:03,107,2592
2024-10-04 22:29:02,108,2415
2024-10-04 22:29:02,108,2503
2024-10-04 22:29:03,108,2551
2024-10-04 22:30:02,112,2393
2024-10-04 22:30:02,112,2488
2024-10-04 22:30:03,112,2507
2024-10-04 22:31:02,110,2350
2024-10-04 22:31:02,110,2439
2024-10-04 22:31:03,110,2476
2024-10-04 22:32:02,105,2317
2024-10-04 22:32:03,105,2399
2024-10-04 22:32:03,105,2442
2024-10-04 22:40:02,109,2457
2024-10-04 22:40:03,109,2560
2024-10-04 22:40:03,109,2649
2024-10-04 22:50:02,111,2503
2024-10-04 22:50:03,111,2606
2024-10-04 22:50:03,111,2653
2024-10-04 23:00:03,106,2551
2024-10-04 23:00:03,106,2654
2024-10-04 23:00:03,106,2701
2024-10-04 23:10:02,108,2556
2024-10-04 23:10:02,108,2668
2024-10-04 23:10:03,108,2715
2024-10-04 23:20:02,109,2559
2024-10-04 23:20:02,109,2671
2024-10-04 23:20:03,109,2717
2024-10-04 23:30:02,109,2573
2024-10-04 23:30:02,109,2684
2024-10-04 23:30:03,109,2731
2024-10-04 23:40:02,108,2585
2024-10-04 23:40:02,108,2685
2024-10-04 23:40:03,108,2733
2024-10-04 23:50:02,106,2586
2024-10-04 23:50:03,106,2699
2024-10-04 23:50:03,106,2745
2024-10-05 00:00:02,108,2590
2024-10-05 00:00:03,108,2698
2024-10-05 00:00:03,108,2745
2024-10-05 00:10:02,106,2601
2024-10-05 00:10:03,106,2665
2024-10-05 00:10:03,106,2750
2024-10-05 00:20:03,103,2602
2024-10-05 00:20:03,103,2714
2024-10-05 00:20:03,103,2750
2024-10-05 00:30:02,109,2607
2024-10-05 00:30:02,109,2713
2024-10-05 00:30:03,109,2761
2024-10-05 00:40:02,106,2619
2024-10-05 00:40:02,106,2731
2024-10-05 00:40:03,106,2776
2024-10-05 00:50:02,107,2615
2024-10-05 00:50:02,107,2716
2024-10-05 00:50:03,107,2745
2024-10-05 01:00:02,108,2605
2024-10-05 01:00:02,108,2727
2024-10-05 01:00:03,108,2760
2024-10-05 01:10:02,107,2618
2024-10-05 01:10:03,107,2728
2024-10-05 01:10:03,107,2776
2024-10-05 01:20:02,106,2620
2024-10-05 01:20:03,106,2730
2024-10-05 01:20:03,106,2776
2024-10-05 01:30:02,106,2631
2024-10-05 01:30:03,106,2732
2024-10-05 01:30:03,106,2781
2024-10-05 01:40:02,106,2623
2024-10-05 01:40:03,106,2736
2024-10-05 01:40:03,106,2778
2024-10-05 01:50:03,109,2631
2024-10-05 01:50:03,109,2743
2024-10-05 01:50:04,109,2791
2024-10-05 02:00:02,106,2635
2024-10-05 02:00:02,106,2744
2024-10-05 02:00:03,106,2791
2024-10-05 02:10:02,108,2637
2024-10-05 02:10:02,108,2745
2024-10-05 02:10:03,108,2793
2024-10-05 02:20:02,107,2632
2024-10-05 02:20:02,107,2747
2024-10-05 02:20:03,107,2798
2024-10-05 02:30:02,108,2636
2024-10-05 02:30:03,108,2745
2024-10-05 02:30:03,108,2783
2024-10-05 02:40:02,107,2638
2024-10-05 02:40:03,107,2747
